,country,region,age,time,gender,category
133,CHE,Europe,27,85.95,male,21km
134,SWE,Europe,16,85.96666666666667,male,21km
135,RUS,Europe,32,86.05,male,21km
136,CHE,Europe,49,86.1,male,21km
137,ITA,Europe,40,86.13333333333334,male,21km
138,CHE,Europe,32,86.2,male,21km
139,PRT,Europe,32,86.3,male,21km
140,CHE,Europe,21,86.38333333333334,male,21km
141,CHE,Europe,41,86.41666666666667,male,21km
142,CHE,Europe,42,86.51666666666667,male,21km
143,CHE,Europe,40,86.56666666666666,male,21km
144,CHE,Europe,33,86.58333333333333,male,21km
145,FRA,Europe,35,86.58333333333333,male,21km
146,CHE,Europe,47,86.61666666666666,male,21km
147,FRA,Europe,32,86.61666666666666,male,21km
148,CHE,Europe,38,86.63333333333334,male,21km
149,BEL,Europe,22,86.63333333333334,male,21km
150,CHE,Europe,39,86.65,male,21km
151,CHE,Europe,32,86.75,male,21km
152,CHE,Europe,32,86.75,male,21km
153,SWE,Europe,27,86.76666666666667,male,21km
154,PRT,Europe,40,86.8,male,21km
155,CHE,Europe,45,86.85,male,21km
156,CHE,Europe,23,86.85,male,21km
157,GBR,Europe,39,86.9,male,21km
158,CHE,Europe,31,86.96666666666667,male,21km
159,CHE,Europe,37,86.96666666666667,male,21km
160,CHE,Europe,41,86.98333333333333,male,21km
161,DEU,Europe,58,87.01666666666667,male,21km
162,ESP,Europe,36,87.01666666666667,male,21km
163,CHE,Europe,50,87.05,female,21km
164,CHE,Europe,40,87.08333333333333,female,21km
165,CHE,Europe,20,87.08333333333333,male,21km
166,CHE,Europe,32,87.11666666666666,male,21km
167,FRA,Europe,32,87.13333333333334,male,21km
168,CHE,Europe,37,87.16666666666667,male,21km
169,CHE,Europe,30,87.31666666666666,female,21km
170,CHE,Europe,60,87.31666666666666,male,21km
171,ESP,Europe,47,87.35,male,21km
172,NOR,Europe,31,87.4,male,21km
173,FRA,Europe,43,87.43333333333334,male,21km
174,FRA,Europe,23,87.45,male,21km
175,CHE,Europe,23,87.5,male,21km
176,CHE,Europe,44,87.53333333333333,male,21km
177,FRA,Europe,19,87.63333333333334,male,21km
