,country,region,age,time,gender,category
0,KEN,Africa,30,29.15,male,10km
1,CHE,Europe,29,29.283333333333335,male,10km
2,MAR,Africa,32,29.816666666666666,male,10km
3,FRA,Europe,34,30.016666666666666,male,10km
4,KEN,Africa,25,30.033333333333335,male,10km
5,ETH,Africa,25,30.05,male,10km
6,MAR,Africa,33,30.15,male,10km
7,CHE,Europe,29,30.166666666666668,male,10km
8,CHE,Europe,30,30.433333333333334,male,10km
9,ETH,Africa,32,30.55,male,10km
10,FRA,Europe,21,31.25,male,10km
11,CHE,Europe,26,31.45,male,10km
12,CHE,Europe,22,31.5,male,10km
13,CHE,Europe,23,31.583333333333332,male,10km
14,FRA,Europe,22,31.7,male,10km
15,IND,Asia,21,31.85,male,10km
16,FRA,Europe,19,31.883333333333333,male,10km
17,FRA,Europe,33,31.916666666666668,male,10km
18,CHE,Europe,28,31.933333333333334,male,10km
19,FRA,Europe,28,31.95,male,10km
20,CHE,Europe,28,32.0,male,10km
21,CHE,Europe,40,32.166666666666664,male,10km
22,CHE,Europe,32,32.3,male,10km
23,CHE,Europe,42,32.31666666666667,male,10km
24,CAN,Americas,33,32.416666666666664,male,10km
25,FRA,Europe,23,32.483333333333334,male,10km
26,CHE,Europe,31,32.55,male,10km
27,PRT,Europe,43,32.56666666666667,male,10km
28,IRL,Europe,26,32.61666666666667,male,10km
29,POL,Europe,29,32.8,male,10km
30,ERI,Africa,22,32.916666666666664,male,10km
31,CHE,Europe,27,32.95,male,10km
32,CHE,Europe,23,33.2,male,10km
33,CHE,Europe,23,33.21666666666667,male,10km
34,CHE,Europe,41,33.25,male,10km
35,BRA,Americas,30,33.28333333333333,male,10km
36,CHE,Europe,20,33.31666666666667,male,10km
37,ERI,Africa,19,33.36666666666667,male,10km
38,CHE,Europe,17,33.483333333333334,male,10km
39,FRA,Europe,22,33.5,male,10km
40,KEN,Africa,26,33.61666666666667,female,10km
41,AUT,Europe,31,33.7,male,10km
42,FRA,Europe,36,33.8,male,10km
43,CHE,Europe,25,33.81666666666667,male,10km
44,FRA,Europe,17,33.85,male,10km
45,GBR,Europe,24,33.95,male,10km
46,CHE,Europe,28,34.0,male,10km
47,PRT,Europe,34,34.05,male,10km
48,CHE,Europe,33,34.06666666666667,female,10km
49,USA,Americas,17,34.15,male,10km
50,FRA,Europe,22,34.25,male,10km
51,CHE,Europe,45,34.31666666666667,male,10km
52,SEN,Africa,30,34.333333333333336,male,10km
53,CHE,Europe,18,34.35,male,10km
54,CHE,Europe,19,34.38333333333333,male,10km
55,CHE,Europe,19,34.43333333333333,male,10km
56,FRA,Europe,26,34.56666666666667,male,10km
57,CHE,Europe,51,34.583333333333336,male,10km
58,CHE,Europe,35,34.63333333333333,male,10km
59,CHE,Europe,22,34.666666666666664,male,10km
60,CHE,Europe,54,34.68333333333333,male,10km
61,CHE,Europe,26,34.78333333333333,male,10km
62,FRA,Europe,52,34.8,male,10km
63,ITA,Europe,26,34.88333333333333,male,10km
64,CHE,Europe,34,34.916666666666664,male,10km
65,FRA,Europe,16,34.95,male,10km
66,FRA,Europe,20,34.983333333333334,male,10km
67,FRA,Europe,29,34.983333333333334,male,10km
68,ITA,Europe,24,35.11666666666667,male,10km
69,CHE,Europe,26,35.166666666666664,male,10km
70,FRA,Europe,25,35.166666666666664,male,10km
71,CHE,Europe,33,35.166666666666664,male,10km
72,CHE,Europe,16,35.18333333333333,male,10km
73,ITA,Europe,40,35.233333333333334,male,10km
74,CHE,Europe,23,35.25,male,10km
75,CHE,Europe,25,35.25,male,10km
76,CHE,Europe,20,35.28333333333333,male,10km
77,FRA,Europe,46,35.3,male,10km
78,CHE,Europe,49,35.35,male,10km
79,CHE,Europe,40,35.483333333333334,male,10km
80,CHE,Europe,24,35.483333333333334,male,10km
81,CHE,Europe,18,35.5,male,10km
82,CHE,Europe,29,35.516666666666666,male,10km
83,POL,Europe,42,35.53333333333333,male,10km
84,CHE,Europe,39,35.61666666666667,male,10km
85,CHE,Europe,28,35.63333333333333,male,10km
86,FRA,Europe,33,35.7,male,10km
87,CHE,Europe,19,35.71666666666667,male,10km
88,FRA,Europe,36,35.733333333333334,male,10km
89,CHE,Europe,27,35.8,male,10km
90,PRT,Europe,28,35.8,male,10km
91,CHE,Europe,26,35.81666666666667,male,10km
92,CHE,Europe,27,35.81666666666667,male,10km
93,CHE,Europe,22,35.85,male,10km
94,CHE,Europe,25,35.85,male,10km
95,CHE,Europe,52,35.916666666666664,male,10km
96,CHE,Europe,17,35.95,male,10km
97,FRA,Europe,36,35.96666666666667,male,10km
98,CHE,Europe,30,35.983333333333334,male,10km
99,FRA,Europe,35,36.0,male,10km
100,CHE,Europe,27,36.0,male,10km
101,FRA,Europe,40,36.06666666666667,male,10km
102,FRA,Europe,26,36.083333333333336,male,10km
103,CHE,Europe,32,36.1,male,10km
104,CHE,Europe,26,36.15,male,10km
105,FRA,Europe,49,36.15,male,10km
106,CHE,Europe,29,36.2,male,10km
107,CHE,Europe,25,36.2,male,10km
108,CHE,Europe,18,36.233333333333334,male,10km
109,CHE,Europe,30,36.3,male,10km
110,FRA,Europe,36,36.31666666666667,female,10km
111,CHE,Europe,18,36.38333333333333,male,10km
112,FRA,Europe,37,36.38333333333333,male,10km
113,DZA,Africa,45,36.43333333333333,male,10km
114,FRA,Europe,19,36.46666666666667,male,10km
115,CHE,Europe,32,36.5,female,10km
116,FRA,Europe,26,36.516666666666666,female,10km
117,CHE,Europe,27,36.516666666666666,male,10km
118,FRA,Europe,40,36.516666666666666,male,10km
119,ITA,Europe,26,36.516666666666666,male,10km
120,CHE,Europe,40,36.53333333333333,male,10km
121,PRT,Europe,36,36.61666666666667,male,10km
122,CHE,Europe,27,36.61666666666667,male,10km
123,CHE,Europe,47,36.63333333333333,male,10km
124,ITA,Europe,50,36.65,male,10km
125,CHE,Europe,25,36.65,male,10km
126,CHE,Europe,19,36.65,male,10km
127,CHE,Europe,39,36.666666666666664,male,10km
128,CHE,Europe,46,36.68333333333333,male,10km
129,CHE,Europe,38,36.75,male,10km
130,CHE,Europe,35,36.75,male,10km
131,FRA,Europe,48,36.78333333333333,male,10km
132,PRT,Europe,34,36.8,male,10km
133,CHE,Europe,27,36.81666666666667,male,10km
134,CHE,Europe,22,36.833333333333336,male,10km
135,CHE,Europe,19,36.88333333333333,male,10km
136,CHE,Europe,21,36.93333333333333,male,10km
137,CHE,Europe,52,36.93333333333333,male,10km
138,CHE,Europe,28,37.0,male,10km
139,CHE,Europe,27,37.06666666666667,male,10km
140,CHE,Europe,33,37.083333333333336,male,10km
141,CHE,Europe,44,37.11666666666667,male,10km
142,CHE,Europe,52,37.13333333333333,male,10km
143,CHE,Europe,22,37.166666666666664,male,10km
144,CHE,Europe,33,37.18333333333333,male,10km
145,CHE,Europe,17,37.2,male,10km
146,CHE,Europe,23,37.25,male,10km
147,CHE,Europe,34,37.25,male,10km
148,FRA,Europe,54,37.266666666666666,male,10km
149,CHE,Europe,30,37.3,female,10km
150,CHE,Europe,38,37.3,male,10km
151,CHE,Europe,34,37.333333333333336,male,10km
152,CHE,Europe,30,37.35,male,10km
153,CHE,Europe,41,37.38333333333333,male,10km
154,CHE,Europe,18,37.4,male,10km
155,CHE,Europe,29,37.4,male,10km
156,CHE,Europe,35,37.416666666666664,male,10km
157,CHE,Europe,18,37.43333333333333,male,10km
158,CHE,Europe,41,37.43333333333333,female,10km
159,CHE,Europe,17,37.43333333333333,male,10km
160,CHE,Europe,23,37.43333333333333,male,10km
161,CHE,Europe,47,37.45,male,10km
162,CHE,Europe,45,37.46666666666667,male,10km
163,FRA,Europe,32,37.55,male,10km
164,CHE,Europe,30,37.6,female,10km
165,FRA,Europe,50,37.61666666666667,male,10km
166,CHE,Europe,21,37.61666666666667,male,10km
167,FRA,Europe,45,37.63333333333333,male,10km
168,CHE,Europe,28,37.63333333333333,male,10km
169,CHE,Europe,36,37.65,male,10km
170,EGY,Africa,19,37.71666666666667,male,10km
171,CHE,Europe,33,37.71666666666667,female,10km
172,CHE,Europe,42,37.733333333333334,male,10km
173,FRA,Europe,58,37.766666666666666,male,10km
174,CHE,Europe,52,37.78333333333333,male,10km
175,CHE,Europe,23,37.8,male,10km
176,ITA,Europe,51,37.85,female,10km
177,FRA,Europe,45,37.88333333333333,male,10km
178,CHE,Europe,23,37.9,male,10km
179,CHE,Europe,27,37.93333333333333,male,10km
180,CHE,Europe,31,37.93333333333333,female,10km
181,FRA,Europe,50,37.95,male,10km
182,FRA,Europe,52,37.96666666666667,male,10km
183,FRA,Europe,62,37.96666666666667,male,10km
184,CHE,Europe,22,38.0,male,10km
185,CHE,Europe,38,38.016666666666666,male,10km
186,CHE,Europe,31,38.083333333333336,male,10km
187,DEU,Europe,33,38.083333333333336,male,10km
188,CHE,Europe,31,38.11666666666667,female,10km
189,JPN,Asia,17,38.166666666666664,male,10km
190,CHE,Europe,33,38.166666666666664,male,10km
191,CHE,Europe,22,38.166666666666664,male,10km
192,CHE,Europe,22,38.2,male,10km
193,CHE,Europe,40,38.21666666666667,male,10km
194,ETH,Africa,36,38.21666666666667,male,10km
195,CHE,Europe,33,38.233333333333334,male,10km
196,CHE,Europe,41,38.25,male,10km
197,CHE,Europe,16,38.266666666666666,male,10km
198,CHE,Europe,54,38.266666666666666,male,10km
199,CHE,Europe,53,38.3,male,10km
200,FRA,Europe,31,38.31666666666667,male,10km
201,AUT,Europe,28,38.35,female,10km
202,CHE,Europe,58,38.45,male,10km
203,ESP,Europe,44,38.45,male,10km
204,CHE,Europe,28,38.46666666666667,male,10km
205,CHE,Europe,45,38.5,male,10km
206,CHE,Europe,25,38.56666666666667,female,10km
207,CHE,Europe,53,38.56666666666667,male,10km
208,CHE,Europe,18,38.56666666666667,male,10km
209,GBR,Europe,43,38.583333333333336,male,10km
210,CHE,Europe,23,38.6,male,10km
211,CHE,Europe,21,38.6,male,10km
212,FRA,Europe,48,38.61666666666667,male,10km
213,CHE,Europe,24,38.61666666666667,male,10km
214,ESP,Europe,25,38.61666666666667,male,10km
215,FRA,Europe,30,38.63333333333333,male,10km
216,CHE,Europe,16,38.63333333333333,female,10km
217,GBR,Europe,18,38.666666666666664,male,10km
218,FRA,Europe,41,38.666666666666664,male,10km
219,CHE,Europe,22,38.68333333333333,male,10km
220,CHE,Europe,23,38.71666666666667,male,10km
221,FRA,Europe,32,38.733333333333334,male,10km
222,FRA,Europe,30,38.733333333333334,male,10km
223,CHE,Europe,25,38.75,male,10km
224,CHE,Europe,44,38.75,male,10km
225,CHE,Europe,29,38.78333333333333,male,10km
226,CHE,Europe,37,38.81666666666667,male,10km
227,CHE,Europe,20,38.833333333333336,male,10km
228,FRA,Europe,60,38.833333333333336,male,10km
229,FRA,Europe,35,38.86666666666667,male,10km
230,CHE,Europe,24,38.86666666666667,male,10km
231,CHE,Europe,19,38.88333333333333,male,10km
232,CHE,Europe,62,38.9,male,10km
233,CHE,Europe,34,38.9,female,10km
234,NOR,Europe,35,38.916666666666664,male,10km
235,CHE,Europe,23,38.93333333333333,male,10km
236,FRA,Europe,32,38.93333333333333,male,10km
237,FRA,Europe,45,38.96666666666667,male,10km
238,CHE,Europe,14,38.96666666666667,male,10km
239,GBR,Europe,39,39.03333333333333,male,10km
240,ITA,Europe,31,39.05,male,10km
241,CHE,Europe,35,39.05,male,10km
242,CHE,Europe,41,39.1,male,10km
243,CHE,Europe,33,39.1,male,10km
244,ESP,Europe,35,39.1,male,10km
245,CHE,Europe,54,39.11666666666667,male,10km
246,CHE,Europe,21,39.11666666666667,male,10km
247,CHE,Europe,25,39.11666666666667,male,10km
