,country,region,age,time,gender,category
133,ITA,Europe,39,192.43333333333334,male,42km
134,FRA,Europe,32,192.66666666666669,male,42km
135,FRA,Europe,46,193.21666666666664,male,42km
136,FRA,Europe,35,193.75,male,42km
137,CHE,Europe,31,193.81666666666666,male,42km
138,FRA,Europe,49,193.81666666666666,male,42km
139,PRT,Europe,41,193.83333333333331,male,42km
140,CHE,Europe,29,193.88333333333333,male,42km
141,FRA,Europe,35,193.96666666666667,male,42km
142,CAN,Americas,32,194.03333333333333,male,42km
143,FRA,Europe,33,194.03333333333333,male,42km
144,ITA,Europe,38,194.08333333333334,male,42km
145,CHE,Europe,41,194.26666666666665,male,42km
146,FRA,Europe,50,194.45,male,42km
147,RUS,Europe,39,194.58333333333331,male,42km
148,FRA,Europe,28,194.60000000000002,male,42km
149,FRA,Europe,32,194.66666666666669,male,42km
150,CHE,Europe,44,194.66666666666669,male,42km
151,DEU,Europe,42,194.75,male,42km
152,ITA,Europe,53,194.78333333333333,male,42km
153,BEL,Europe,36,194.86666666666667,male,42km
154,DZA,Africa,34,194.86666666666667,male,42km
155,DEU,Europe,50,194.88333333333333,female,42km
156,CHE,Europe,34,194.95,male,42km
157,FRA,Europe,25,195.0,male,42km
158,CHE,Europe,32,195.18333333333334,male,42km
159,CHE,Europe,25,195.3,male,42km
160,CHE,Europe,45,195.56666666666666,male,42km
161,HUN,Europe,50,195.68333333333334,male,42km
162,CHE,Europe,18,195.71666666666667,male,42km
163,CHE,Europe,46,195.75,male,42km
164,POL,Europe,41,195.88333333333333,male,42km
165,CHE,Europe,45,196.2,male,42km
166,FRA,Europe,51,196.28333333333336,male,42km
167,CHE,Europe,44,196.48333333333335,male,42km
168,FRA,Europe,21,196.58333333333334,female,42km
169,CHE,Europe,45,196.63333333333333,male,42km
170,ITA,Europe,37,196.93333333333334,male,42km
171,FRA,Europe,25,197.68333333333334,male,42km
172,FRA,Europe,43,197.71666666666664,male,42km
173,DEU,Europe,22,197.88333333333333,male,42km
174,LUX,Europe,47,198.43333333333334,male,42km
175,CHE,Europe,49,198.76666666666665,male,42km
176,FRA,Europe,44,198.9,male,42km
177,SWE,Europe,62,199.25,male,42km
178,NLD,Europe,46,199.39999999999998,male,42km
179,NLD,Europe,28,199.48333333333335,female,42km
180,FRA,Europe,35,199.6,male,42km
181,CHE,Europe,54,199.96666666666667,male,42km
182,FRA,Europe,38,200.31666666666666,male,42km
183,FRA,Europe,41,200.41666666666666,male,42km
184,CHE,Europe,28,200.5,female,42km
185,FRA,Europe,32,200.86666666666667,male,42km
